ID,Player_ID,Team_ID,Rank,Name,Team_abv,Season
1,107,9,1,James Harden,HOU,2019 - 2020
2,82,24,2,Damian Lillard,POR,2019 - 2020
3,199,16,3,Devin Booker,PHO,2019 - 2020
4,140,18,4,Giannis Antetokounmpo,MIL,2019 - 2020
5,50,8,5,Trae Young,ATL,2019 - 2020
6,106,11,6,Luka DonÄiÄ,DAL,2019 - 2020
7,84,20,7,Bradley Beal,WAS,2019 - 2020
8,28,4,8,LeBron James,LAL,2019 - 2020
9,108,22,9,Donovan Mitchell,UTA,2019 - 2020
10,171,4,10,Anthony Davis,LAL,2019 - 2020
11,159,24,11,CJ McCollum,POR,2019 - 2020
12,13,9,12,Russell Westbrook,HOU,2019 - 2020
13,139,28,13,Jayson Tatum,BOS,2019 - 2020
14,174,1,14,Kawhi Leonard,LAC,2019 - 2020
15,33,29,15,Zach LaVine,CHI,2019 - 2020
16,172,23,16,DeMar DeRozan,SAS,2019 - 2020
17,167,3,17,Brandon Ingram,NOP,2019 - 2020
18,190,26,18,Nikola JokiÄ,DEN,2019 - 2020
19,203,27,19,Tobias Harris,PHI,2019 - 2020
20,39,2,20,Buddy Hield,SAC,2019 - 2020
21,151,5,21,Pascal Siakam,TOR,2019 - 2020
22,125,19,22,Collin Sexton,CLE,2019 - 2020
23,5,7,23,Shai Gilgeous-Alexander,OKC,2019 - 2020
24,137,14,24,T.J. Warren,IND,2019 - 2020
25,113,21,25,Spencer Dinwiddie,BRK,2019 - 2020
26,6,18,26,Khris Middleton,MIL,2019 - 2020
27,145,22,27,Bojan BogdanoviÄ,UTA,2019 - 2020
28,85,12,28,Julius Randle,NYK,2019 - 2020
29,96,7,29,Chris Paul,OKC,2019 - 2020
30,89,7,30,Dennis SchrÃ¶der,OKC,2019 - 2020
31,59,15,31,Evan Fournier,ORL,2019 - 2020
32,169,15,32,Nikola VuÄeviÄ,ORL,2019 - 2020
33,117,25,33,Ja Morant,MEM,2019 - 2020
34,69,1,34,Lou Williams,LAC,2019 - 2020
35,129,25,35,Dillon Brooks,MEM,2019 - 2020
36,104,,36,Andrew Wiggins,2TM,2019 - 2020
37,104,6,36,Andrew Wiggins,MIN,2019 - 2020
38,104,13,36,Andrew Wiggins,GSW,2019 - 2020
39,48,1,37,Montrezl Harrell,LAC,2019 - 2020
40,146,27,38,Joel Embiid,PHI,2019 - 2020
41,127,3,39,Jrue Holiday,NOP,2019 - 2020
42,14,11,40,Kristaps PorziÅÄ£is,DAL,2019 - 2020
43,201,7,41,Danilo Gallinari,OKC,2019 - 2020
44,99,28,42,Jaylen Brown,BOS,2019 - 2020
45,130,30,43,Jimmy Butler,MIA,2019 - 2020
46,110,14,44,Domantas Sabonis,IND,2019 - 2020
47,95,30,45,Bam Adebayo,MIA,2019 - 2020
48,22,10,46,Devonte' Graham,CHO,2019 - 2020
49,163,28,47,Kemba Walker,BOS,2019 - 2020
50,20,10,48,Terry Rozier,CHO,2019 - 2020
51,116,5,49,Kyle Lowry,TOR,2019 - 2020
52,62,11,50,Tim Hardaway Jr.,DAL,2019 - 2020
53,154,13,1,Stephen Curry,GSW,2020 - 2021
54,82,24,2,Damian Lillard,POR,2020 - 2021
55,190,26,3,Nikola JokiÄ,DEN,2020 - 2021
56,84,20,4,Bradley Beal,WAS,2020 - 2021
57,106,11,5,Luka DonÄiÄ,DAL,2020 - 2021
58,140,18,6,Giannis Antetokounmpo,MIL,2020 - 2021
59,199,16,7,Devin Booker,PHO,2020 - 2021
60,85,12,8,Julius Randle,NYK,2020 - 2021
61,139,28,9,Jayson Tatum,BOS,2020 - 2021
62,15,3,10,Zion Williamson,NOP,2020 - 2021
63,169,,11,Nikola VuÄeviÄ,2TM,2020 - 2021
64,169,15,11,Nikola VuÄeviÄ,ORL,2020 - 2021
65,169,29,11,Nikola VuÄeviÄ,CHI,2020 - 2021
66,50,8,12,Trae Young,ATL,2020 - 2021
67,33,29,13,Zach LaVine,CHI,2020 - 2021
68,186,2,14,De'Aaron Fox,SAC,2020 - 2021
69,125,19,15,Collin Sexton,CLE,2020 - 2021
70,146,27,16,Joel Embiid,PHI,2020 - 2021
71,121,21,17,Kyrie Irving,BRK,2020 - 2021
72,167,3,18,Brandon Ingram,NOP,2020 - 2021
73,13,20,19,Russell Westbrook,WAS,2020 - 2021
74,99,28,20,Jaylen Brown,BOS,2020 - 2021
75,20,10,21,Terry Rozier,CHO,2020 - 2021
76,108,22,22,Donovan Mitchell,UTA,2020 - 2021
77,100,6,23,Anthony Edwards,MIN,2020 - 2021
78,6,18,24,Khris Middleton,MIL,2020 - 2021
79,104,13,25,Andrew Wiggins,GSW,2020 - 2021
80,172,23,26,DeMar DeRozan,SAS,2020 - 2021
81,174,1,27,Kawhi Leonard,LAC,2020 - 2021
82,97,,28,Norman Powell,2TM,2020 - 2021
83,97,5,28,Norman Powell,TOR,2020 - 2021
84,97,24,28,Norman Powell,POR,2020 - 2021
85,170,12,29,RJ Barrett,NYK,2020 - 2021
86,110,14,30,Domantas Sabonis,IND,2020 - 2021
87,65,1,31,Paul George,LAC,2020 - 2021
88,134,22,32,Jordan Clarkson,UTA,2020 - 2021
89,10,6,33,Karl-Anthony Towns,MIN,2020 - 2021
90,145,22,34,Bojan BogdanoviÄ,UTA,2020 - 2021
91,203,27,35,Tobias Harris,PHI,2020 - 2021
92,77,17,36,Jerami Grant,DET,2020 - 2021
93,117,25,37,Ja Morant,MEM,2020 - 2021
94,95,30,38,Bam Adebayo,MIA,2020 - 2021
95,151,5,39,Pascal Siakam,TOR,2020 - 2021
96,81,14,40,Malcolm Brogdon,IND,2020 - 2021
97,39,2,41,Buddy Hield,SAC,2020 - 2021
98,62,11,42,Tim Hardaway Jr.,DAL,2020 - 2021
99,178,26,43,Michael Porter Jr.,DEN,2020 - 2021
100,129,25,44,Dillon Brooks,MEM,2020 - 2021
101,96,16,45,Chris Paul,PHO,2020 - 2021
102,28,4,46,LeBron James,LAL,2020 - 2021
103,130,30,47,Jimmy Butler,MIA,2020 - 2021
104,76,8,48,John Collins,ATL,2020 - 2021
105,159,24,49,CJ McCollum,POR,2020 - 2021
106,107,,50,James Harden,2TM,2020 - 2021
107,50,8,1,Trae Young,ATL,2021 - 2022
108,172,29,2,DeMar DeRozan,CHI,2021 - 2022
109,146,27,3,Joel Embiid,PHI,2021 - 2022
110,139,28,4,Jayson Tatum,BOS,2021 - 2022
111,190,26,5,Nikola JokiÄ,DEN,2021 - 2022
112,140,18,6,Giannis Antetokounmpo,MIL,2021 - 2022
113,106,11,7,Luka DonÄiÄ,DAL,2021 - 2022
114,199,16,8,Devin Booker,PHO,2021 - 2022
115,10,6,9,Karl-Anthony Towns,MIN,2021 - 2022
116,108,22,10,Donovan Mitchell,UTA,2021 - 2022
117,28,4,11,LeBron James,LAL,2021 - 2022
118,43,21,12,Kevin Durant,BRK,2021 - 2022
119,33,29,13,Zach LaVine,CHI,2021 - 2022
120,154,13,14,Stephen Curry,GSW,2021 - 2022
121,149,10,15,Miles Bridges,CHO,2021 - 2022
122,117,25,16,Ja Morant,MEM,2021 - 2022
123,99,28,17,Jaylen Brown,BOS,2021 - 2022
124,151,5,18,Pascal Siakam,TOR,2021 - 2022
125,100,6,19,Anthony Edwards,MIN,2021 - 2022
126,162,10,20,LaMelo Ball,CHO,2021 - 2022
127,58,19,21,Darius Garland,CLE,2021 - 2022
128,85,12,22,Julius Randle,NYK,2021 - 2022
129,13,4,23,Russell Westbrook,LAL,2021 - 2022
130,17,23,24,Dejounte Murray,SAS,2021 - 2022
131,107,,25,James Harden,2TM,2021 - 2022
132,107,21,25,James Harden,BRK,2021 - 2022
133,107,27,25,James Harden,PHI,2021 - 2022
134,20,10,26,Terry Rozier,CHO,2021 - 2022
135,177,13,27,Jordan Poole,GSW,2021 - 2022
136,170,12,28,RJ Barrett,NYK,2021 - 2022
137,93,25,29,Desmond Bane,MEM,2021 - 2022
138,5,7,30,Shai Gilgeous-Alexander,OKC,2021 - 2022
139,159,,31,CJ McCollum,2TM,2021 - 2022
140,159,24,31,CJ McCollum,POR,2021 - 2022
141,159,3,31,CJ McCollum,NOP,2021 - 2022
142,186,2,32,De'Aaron Fox,SAC,2021 - 2022
143,27,30,33,Tyler Herro,MIA,2021 - 2022
144,6,18,34,Khris Middleton,MIL,2021 - 2022
145,35,17,35,Saddiq Bey,DET,2021 - 2022
146,30,5,36,Fred VanVleet,TOR,2021 - 2022
147,147,3,37,Jonas ValanÄiÅ«nas,NOP,2021 - 2022
148,56,27,38,Tyrese Maxey,PHI,2021 - 2022
149,169,29,39,Nikola VuÄeviÄ,CHI,2021 - 2022
150,195,11,40,Jalen Brunson,DAL,2021 - 2022
151,88,5,41,Gary Trent Jr.,TOR,2021 - 2022
152,193,23,42,Keldon Johnson,SAS,2021 - 2022
153,120,25,43,Jaren Jackson Jr.,MEM,2021 - 2022
154,134,22,44,Jordan Clarkson,UTA,2021 - 2022
155,51,2,45,Harrison Barnes,SAC,2021 - 2022
156,39,,46,Buddy Hield,2TM,2021 - 2022
157,39,2,46,Buddy Hield,SAC,2021 - 2022
158,39,14,46,Buddy Hield,IND,2021 - 2022
159,180,1,47,Reggie Jackson,LAC,2021 - 2022
160,203,27,48,Tobias Harris,PHI,2021 - 2022
161,104,13,49,Andrew Wiggins,GSW,2021 - 2022
162,145,22,50,Bojan BogdanoviÄ,UTA,2021 - 2022
163,139,28,1,Jayson Tatum,BOS,2022 - 2023
164,146,27,2,Joel Embiid,PHI,2022 - 2023
165,106,11,3,Luka DonÄiÄ,DAL,2022 - 2023
166,5,7,4,Shai Gilgeous-Alexander,OKC,2022 - 2023
167,140,18,5,Giannis Antetokounmpo,MIL,2022 - 2023
168,100,6,6,Anthony Edwards,MIN,2022 - 2023
169,85,12,7,Julius Randle,NYK,2022 - 2023
170,108,19,8,Donovan Mitchell,CLE,2022 - 2023
171,50,8,9,Trae Young,ATL,2022 - 2023
172,33,29,10,Zach LaVine,CHI,2022 - 2023
173,82,24,11,Damian Lillard,POR,2022 - 2023
174,186,2,12,De'Aaron Fox,SAC,2022 - 2023
175,172,29,13,DeMar DeRozan,CHI,2022 - 2023
176,99,28,14,Jaylen Brown,BOS,2022 - 2023
177,151,5,15,Pascal Siakam,TOR,2022 - 2023
178,40,22,16,Lauri Markkanen,UTA,2022 - 2023
179,190,26,17,Nikola JokiÄ,DEN,2022 - 2023
180,86,9,18,Jalen Green,HOU,2022 - 2023
181,177,13,19,Jordan Poole,GSW,2022 - 2023
182,155,,20,Mikal Bridges,2TM,2022 - 2023
183,155,16,20,Mikal Bridges,PHO,2022 - 2023
184,155,21,20,Mikal Bridges,BRK,2022 - 2023
185,154,13,21,Stephen Curry,GSW,2022 - 2023
186,195,12,22,Jalen Brunson,NYK,2022 - 2023
187,121,,23,Kyrie Irving,2TM,2022 - 2023
188,121,21,23,Kyrie Irving,BRK,2022 - 2023
189,121,11,23,Kyrie Irving,DAL,2022 - 2023
190,117,25,24,Ja Morant,MEM,2022 - 2023
191,28,4,25,LeBron James,LAL,2022 - 2023
192,159,3,26,CJ McCollum,NOP,2022 - 2023
193,95,30,27,Bam Adebayo,MIA,2022 - 2023
194,17,8,28,Dejounte Murray,ATL,2022 - 2023
195,110,2,29,Domantas Sabonis,SAC,2022 - 2023
196,91,13,30,Klay Thompson,GSW,2022 - 2023
197,14,20,31,Kristaps PorziÅÄ£is,WAS,2022 - 2023
198,58,19,32,Darius Garland,CLE,2022 - 2023
199,36,15,33,Franz Wagner,ORL,2022 - 2023
200,199,16,34,Devin Booker,PHO,2022 - 2023
201,130,30,35,Jimmy Butler,MIA,2022 - 2023
202,171,4,36,Anthony Davis,LAL,2022 - 2023
203,169,29,37,Nikola VuÄeviÄ,CHI,2022 - 2023
204,166,15,38,Paolo Banchero,ORL,2022 - 2023
205,170,12,39,RJ Barrett,NYK,2022 - 2023
206,193,23,40,Keldon Johnson,SAS,2022 - 2023
207,113,,41,Spencer Dinwiddie,2TM,2022 - 2023
208,113,11,41,Spencer Dinwiddie,DAL,2022 - 2023
209,113,21,41,Spencer Dinwiddie,BRK,2022 - 2023
210,43,,42,Kevin Durant,2TM,2022 - 2023
211,43,21,42,Kevin Durant,BRK,2022 - 2023
212,43,16,42,Kevin Durant,PHO,2022 - 2023
213,90,20,43,Kyle Kuzma,WAS,2022 - 2023
214,27,30,44,Tyler Herro,MIA,2022 - 2023
215,39,14,45,Buddy Hield,IND,2022 - 2023
216,30,5,46,Fred VanVleet,TOR,2022 - 2023
217,65,1,47,Paul George,LAC,2022 - 2023
218,20,10,48,Terry Rozier,CHO,2022 - 2023
219,136,24,49,Anfernee Simons,POR,2022 - 2023
220,118,14,50,Bennedict Mathurin,IND,2022 - 2023
221,106,11,1,Luka DonÄiÄ,DAL,2023 - 2024
222,5,7,2,Shai Gilgeous-Alexander,OKC,2023 - 2024
223,140,18,3,Giannis Antetokounmpo,MIL,2023 - 2024
224,195,12,4,Jalen Brunson,NYK,2023 - 2024
225,190,26,5,Nikola JokiÄ,DEN,2023 - 2024
226,100,6,6,Anthony Edwards,MIN,2023 - 2024
227,43,16,7,Kevin Durant,PHO,2023 - 2024
228,139,28,8,Jayson Tatum,BOS,2023 - 2024
229,186,2,9,De'Aaron Fox,SAC,2023 - 2024
230,154,13,10,Stephen Curry,GSW,2023 - 2024
231,172,29,11,DeMar DeRozan,CHI,2023 - 2024
232,171,4,12,Anthony Davis,LAL,2023 - 2024
233,199,16,13,Devin Booker,PHO,2023 - 2024
234,28,4,14,LeBron James,LAL,2023 - 2024
235,56,27,15,Tyrese Maxey,PHI,2023 - 2024
236,166,15,16,Paolo Banchero,ORL,2023 - 2024
237,82,18,17,Damian Lillard,MIL,2023 - 2024
238,17,8,18,Dejounte Murray,ATL,2023 - 2024
239,151,,19,Pascal Siakam,2TM,2023 - 2024
240,151,5,19,Pascal Siakam,TOR,2023 - 2024
241,151,14,19,Pascal Siakam,IND,2023 - 2024
242,65,1,20,Paul George,LAC,2023 - 2024
243,174,1,21,Kawhi Leonard,LAC,2023 - 2024
244,99,28,22,Jaylen Brown,BOS,2023 - 2024
245,86,9,23,Jalen Green,HOU,2023 - 2024
246,155,21,24,Mikal Bridges,BRK,2023 - 2024
247,15,3,25,Zion Williamson,NOP,2023 - 2024
248,110,2,26,Domantas Sabonis,SAC,2023 - 2024
249,90,20,27,Kyle Kuzma,WAS,2023 - 2024
250,46,23,28,Victor Wembanyama,SAS,2023 - 2024
251,119,29,29,Coby White,CHI,2023 - 2024
252,121,11,30,Kyrie Irving,DAL,2023 - 2024
253,120,25,31,Jaren Jackson Jr.,MEM,2023 - 2024
254,138,21,32,Cam Thomas,BRK,2023 - 2024
255,108,19,33,Donovan Mitchell,CLE,2023 - 2024
256,125,22,34,Collin Sexton,UTA,2023 - 2024
257,149,10,35,Miles Bridges,CHO,2023 - 2024
258,36,15,36,Franz Wagner,ORL,2023 - 2024
259,179,17,37,Cade Cunningham,DET,2023 - 2024
260,197,14,38,Tyrese Haliburton,IND,2023 - 2024
261,50,8,39,Trae Young,ATL,2023 - 2024
262,91,13,40,Klay Thompson,GSW,2023 - 2024
263,169,29,41,Nikola VuÄeviÄ,CHI,2023 - 2024
264,157,4,42,D'Angelo Russell,LAL,2023 - 2024
265,95,30,43,Bam Adebayo,MIA,2023 - 2024
266,45,7,44,Chet Holmgren,OKC,2023 - 2024
267,177,20,45,Jordan Poole,WAS,2023 - 2024
268,178,26,46,Michael Porter Jr.,DEN,2023 - 2024
269,8,7,47,Jalen Williams,OKC,2023 - 2024
270,146,27,48,Joel Embiid,PHI,2023 - 2024
271,10,6,49,Karl-Anthony Towns,MIN,2023 - 2024
272,160,8,50,Bogdan BogdanoviÄ,ATL,2023 - 2024
273,5,7,1,Shai Gilgeous-Alexander,OKC,2024 - 2025
274,100,6,2,Anthony Edwards,MIN,2024 - 2025
275,190,26,3,Nikola JokiÄ,DEN,2024 - 2025
276,140,18,4,Giannis Antetokounmpo,MIL,2024 - 2025
277,139,28,5,Jayson Tatum,BOS,2024 - 2025
278,199,16,6,Devin Booker,PHO,2024 - 2025
279,50,8,7,Trae Young,ATL,2024 - 2025
280,27,30,8,Tyler Herro,MIA,2024 - 2025
281,179,17,9,Cade Cunningham,DET,2024 - 2025
282,107,1,10,James Harden,LAC,2024 - 2025
283,10,12,11,Karl-Anthony Towns,NYK,2024 - 2025
284,33,,12,Zach LaVine,2TM,2024 - 2025
285,33,29,12,Zach LaVine,CHI,2024 - 2025
286,33,2,12,Zach LaVine,SAC,2024 - 2025
287,86,9,13,Jalen Green,HOU,2024 - 2025
288,154,13,14,Stephen Curry,GSW,2024 - 2025
289,172,2,15,DeMar DeRozan,SAC,2024 - 2025
290,28,4,16,LeBron James,LAL,2024 - 2025
291,108,19,17,Donovan Mitchell,CLE,2024 - 2025
292,195,12,18,Jalen Brunson,NYK,2024 - 2025
293,43,16,19,Kevin Durant,PHO,2024 - 2025
294,120,25,20,Jaren Jackson Jr.,MEM,2024 - 2025
295,151,14,21,Pascal Siakam,IND,2024 - 2025
296,58,19,22,Darius Garland,CLE,2024 - 2025
297,119,29,23,Coby White,CHI,2024 - 2025
298,8,7,24,Jalen Williams,OKC,2024 - 2025
299,19,4,25,Austin Reaves,LAL,2024 - 2025
300,186,,26,De'Aaron Fox,2TM,2024 - 2025
301,186,2,26,De'Aaron Fox,SAC,2024 - 2025
302,186,23,26,De'Aaron Fox,SAS,2024 - 2025
303,21,9,27,Alperen ÅengÃ¼n,HOU,2024 - 2025
304,36,15,28,Franz Wagner,ORL,2024 - 2025
305,82,18,29,Damian Lillard,MIL,2024 - 2025
306,155,12,30,Mikal Bridges,NYK,2024 - 2025
307,102,26,31,Jamal Murray,DEN,2024 - 2025
308,95,30,32,Bam Adebayo,MIA,2024 - 2025
309,106,,33,Luka DonÄiÄ,2TM,2024 - 2025
310,106,11,33,Luka DonÄiÄ,DAL,2024 - 2025
311,106,4,33,Luka DonÄiÄ,LAL,2024 - 2025
312,99,28,34,Jaylen Brown,BOS,2024 - 2025
313,178,26,35,Michael Porter Jr.,DEN,2024 - 2025
314,177,20,36,Jordan Poole,WAS,2024 - 2025
315,56,27,37,Tyrese Maxey,PHI,2024 - 2025
316,197,14,38,Tyrese Haliburton,IND,2024 - 2025
317,169,29,39,Nikola VuÄeviÄ,CHI,2024 - 2025
318,136,24,40,Anfernee Simons,POR,2024 - 2025
319,37,1,41,Ivica Zubac,LAC,2024 - 2025
320,110,2,42,Domantas Sabonis,SAC,2024 - 2025
321,165,17,43,Malik Beasley,DET,2024 - 2025
322,42,24,44,Shaedon Sharpe,POR,2024 - 2025
323,63,12,45,OG Anunoby,NYK,2024 - 2025
324,93,25,46,Desmond Bane,MEM,2024 - 2025
325,66,19,47,Evan Mobley,CLE,2024 - 2025
326,97,1,48,Norman Powell,LAC,2024 - 2025
327,149,10,49,Miles Bridges,CHO,2024 - 2025
328,85,6,50,Julius Randle,MIN,2024 - 2025
